Date,Bitcoin,Gold,S&P500
2023-06-02,26508.22,1963.6,4293.93
2023-06-09,25576.39,1957.8,4425.84
2023-06-16,29912.28,1912.7,4381.89
2023-06-23,30445.35,1909.2,4396.44
2023-06-30,29909.34,1908.7,4411.59
2023-07-07,31476.05,1959.2,4510.04
2023-07-14,29792.02,1968.3,4534.87
2023-07-21,29210.69,1945.4,4537.41
2023-07-28,29178.68,1932.0,4501.89
2023-08-04,29429.59,1914.4,4468.83
2023-08-11,26664.55,1884.1,4370.36
2023-08-18,26162.37,1918.2,4376.31
2023-08-25,25931.47,1938.2,4507.66
2023-09-01,26240.2,1917.5,4451.14
2023-09-08,26539.67,1910.0,4505.1
2023-09-15,26567.63,1919.2,4330.0
2023-09-22,27021.55,1860.4,4299.7
2023-09-29,27415.91,1816.6,4258.19
2023-10-06,26756.8,1869.3,4349.61
2023-10-13,28719.81,1968.4,4278.0
2023-10-20,34156.65,1987.2,4137.23
2023-10-27,34938.24,1985.6,4317.78
2023-11-03,36693.13,1964.2,4347.35
2023-11-10,36154.77,1983.9,4508.24
2023-11-17,37289.62,1991.4,4556.62
2023-11-24,37712.75,2038.1,4567.8
2023-12-01,43292.66,2029.9,4585.59
2023-12-08,43023.97,2030.2,4719.55
2023-12-15,43869.15,2039.1,4746.75
2023-12-22,42627.86,2073.9,4783.35
2023-12-29,44179.92,2042.3,4688.68
2024-01-05,46368.59,2014.3,4780.24
2024-01-12,41262.06,2018.6,4780.94
2024-01-19,39933.81,2016.9,4894.16
2024-01-26,43075.77,2053.0,4906.19
2024-02-02,45301.57,2032.2,4997.91
2024-02-09,51938.55,2002.1,5029.73
2024-02-16,51304.97,2019.7,5087.03
2024-02-23,61198.38,2045.7,5096.27
2024-03-01,66925.48,2158.0,5157.36
2024-03-08,71396.59,2163.0,5150.48
2024-03-15,65491.39,2182.4,5241.53
2024-03-22,70744.95,2217.4,5254.35
2024-03-29,68508.84,2288.8,5147.21
2024-04-05,70060.61,2354.8,5199.06
2024-04-12,63512.75,2382.3,5011.12
2024-04-19,64481.71,2329.8,5048.42
2024-04-26,59123.43,2299.2,5064.2
2024-05-03,63049.96,2332.1,5214.08
2024-05-10,65231.58,2380.0,5297.1
2024-05-17,67929.56,2335.0,5267.84
2024-05-24,68364.99,2342.9,5235.48
2024-05-31,70757.16,2370.3,5352.96
2024-06-07,66756.4,2300.2,5433.74
2024-06-14,64828.66,2353.8,5473.17
2024-06-21,61604.8,2324.5,5482.87
2024-06-28,56977.7,2359.8,5537.02
2024-07-05,57344.91,2415.0,5584.54
2024-07-12,63974.07,2451.8,5544.59
2024-07-19,65777.23,2351.9,5399.22
2024-07-26,65357.5,2435.0,5446.68
2024-08-02,61710.14,2422.2,5319.31
2024-08-09,57560.1,2453.1,5543.22
2024-08-16,60381.91,2478.9,5570.64
2024-08-23,59388.18,2525.7,5591.96
2024-08-30,56160.49,2511.4,5503.41
2024-09-06,58127.01,2551.2,5595.76
2024-09-13,62940.46,2588.0,5713.64
2024-09-20,65181.02,2669.9,5745.37
2024-09-27,60759.4,2657.1,5699.94
2024-10-04,60274.5,2620.6,5780.05
2024-10-11,67399.84,2691.0,5841.47
2024-10-18,68161.05,2734.9,5809.86
2024-10-25,70215.19,2738.3,5705.45
2024-11-01,75904.86,2698.4,5973.1
2024-11-08,87250.43,2568.2,5949.17
2024-11-15,98504.73,2672.1,5948.71
2024-11-22,95652.47,2639.7,5998.74
2024-11-29,96593.57,2626.6,6075.11
2024-12-06,100043.0,2687.5,6051.25
2024-12-13,97490.95,2592.2,5867.08
2024-12-20,95795.52,2638.8,6037.59
2024-12-27,96886.88,2658.9,5868.55
2025-01-03,92484.04,2683.8,5918.25
2025-01-10,99756.91,2746.4,5937.34
2025-01-17,103960.17,2763.1,6118.71
2025-01-24,104735.3,2823.0,6071.17
2025-01-31,96593.3,2856.0,6083.57
2025-02-07,96623.87,2925.9,6115.07
2025-02-14,98333.94,2940.0,6117.52
2025-02-21,84704.23,2883.2,5861.57
2025-02-28,89961.73,2916.6,5738.52
2025-03-07,81066.7,2984.3,5521.52
2025-03-14,84167.2,3040.0,5662.89
2025-03-21,87177.1,3060.2,5693.31
2025-03-28,83102.83,3097.0,5396.52
2025-04-04,79626.14,3155.2,5268.05
2025-04-11,84895.75,3308.7,5282.7
2025-04-18,93943.8,3332.0,5484.77
2025-04-25,96492.34,3210.0,5604.14
2025-05-02,103241.46,3296.6,5663.94
2025-05-09,103744.64,3220.7,5916.93
2025-05-16,111673.28,3292.3,5842.01
2025-05-23,105641.76,3317.1,5912.17
2025-05-30,101575.95,3350.7,5939.3
2025-06-06,104390.34,3322.7,6000.36
